ejercicio,resource_type,poverty_level,grade_level,total_donations,funding_status,date_posted,modificacion,ejercido
2014,Radio,Publicidad Turismo,362,308,Campaña,3/8/2007,14.476,160.16
2014,Cine,Publicidad Turismo,362,329,Campaña,11/11/2002,8.883,177.66
2014,Internet,Publicidad Turismo,362,319,Campaña,11/11/2002,10.527,299.86
2014,Radio,Publicidad Turismo,362,382,Campaña,11/11/2002,33.998,290.32
2014,Radio,Publicidad Turismo,362,327,Campaña,11/11/2002,28.122,186.39
2014,Radio,Publicidad Turismo,362,388.39,Campaña,11/11/2002,14.75882,357.3188
2014,Cine,Publicidad Turismo,362,402,Campaña,11/11/2002,32.562,357.78
2014,Televisi?n,Publicidad Turismo,362,440,Campaña,11/11/2002,27.28,246.4
2014,Radio,Informe 2014,362,353,Campaña,11/11/2002,34.241,282.4
2014,Cine,Publicidad Turismo,362,1000,Campaña,11/11/2002,76,740
2014,Radio,Publicidad Turismo,362,846.35,Campaña,11/11/2002,54.1664,575.518
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,362,300,Campaña,11/11/2002,22.5,276
2014,Cine,Publicidad Turismo,362,4600,Campaña,1/18/2003,299,2852
2014,Radio,Publicidad Turismo,361,335.27,Campaña,11/11/2002,17.09877,278.2741
2014,Medios impresos,Publicidad Turismo,362,253,Campaña,11/11/2002,14.168,250.47
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,362,350,Campaña,11/11/2002,1.4,175
2014,Cine,Publicidad Turismo,362,2970,Campaña,10/3/2002,62.37,2138.4
2014,Medios impresos,Informe 2014,362,500,Campaña,11/11/2002,15,385
2014,Internet,Publicidad Turismo,362,700,Campaña,11/11/2002,30.8,434
2014,Cine,Publicidad Turismo,362,590,Campaña,11/11/2002,17.11,554.6
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Aviso,11/27/2002,0,0
2014,Internet,Informe 2014,362,1150,Campaña,11/11/2002,100.05,609.5
2014,Cine,Publicidad Turismo,362,1186,Campaña,11/11/2002,64.044,1162.28
2014,Internet,Publicidad Turismo,362,750,Campaña,11/11/2002,69.75,502.5
2014,Medios impresos,Publicidad Turismo,366,502.5,Campaña,9/20/2002,24.12,361.8
2014,Internet,Informe 2014,362,165,Campaña,11/11/2002,0.165,84.15
2014,Medios impresos,Publicidad Turismo,362,450,Campaña,11/11/2002,10.8,387
2014,Radio,Publicidad Turismo,362,158.72,Campaña,11/11/2002,6.50752,139.6736
2014,Radio,Publicidad Turismo,362,187,Campaña,11/11/2002,4.488,164.56
2014,Radio,Publicidad Turismo,362,1058,Campaña,1/1/2003,28.566,708.86
2014,Internet,Publicidad Turismo,33605,1227,Campaña,10/30/2002,24.54,1141.11
2014,Internet,Publicidad Turismo,361,450,Campaña,11/11/2002,31.95,405
2014,Radio,Publicidad Turismo,362,1129.31,Campaña,11/11/2002,62.11205,813.1032
2014,Medios impresos,Publicidad Turismo,361,1977.1,Campaña,11/11/2002,106.7634,1700.306
2014,Cine,Informe 2014,362,923,Campaña,11/11/2002,54.457,609.18
2014,Radio,Publicidad Turismo,361,828.49,Campaña,11/11/2002,33.1396,662.792
2014,Radio,Publicidad Turismo,361,249,Campaña,11/11/2002,23.157,194.22
2014,Cine,Publicidad Turismo,362,2614,Campaña,11/27/2002,104.56,1437.7
2014,Cine,Publicidad Turismo,362,378,Campaña,11/11/2002,0.756,325.08
2014,Radio,Publicidad Turismo,362,537.4,Campaña,11/11/2002,47.8286,306.318
2014,Medios impresos,Publicidad Turismo,362,393.79,Campaña,11/11/2002,5.90685,311.0941
2014,Radio,Publicidad Turismo,361,384,Campaña,11/11/2002,25.728,207.36
2014,Cine,Publicidad Turismo,361,2008,Campaña,11/11/2002,128.512,2008
2014,Radio,Publicidad Turismo,33605,1200,Campaña,10/30/2002,97.2,1104
2014,Cine,Publicidad Turismo,362,460.25,Campaña,11/11/2002,7.82425,400.4175
2014,Cine,Publicidad Turismo,362,2005.64,Campaña,11/11/2002,40.1128,1965.5272
2014,Radio,Publicidad Turismo,33605,603,Campaña,11/11/2002,51.858,554.76
2014,Radio,Publicidad Turismo,366,112,Campaña,11/11/2002,4.256,66.08
2014,Medios impresos,Publicidad Turismo,362,169,Campaña,11/11/2002,8.45,126.75
2014,Radio,Publicidad Turismo,366,438,Campaña,11/11/2002,12.702,236.52
2014,Internet,Publicidad Turismo,362,530,Campaña,11/11/2002,36.04,280.9
2014,Medios impresos,Informe 2014,33605,136,Campaña,11/11/2002,9.792,78.88
2014,Cine,Publicidad Turismo,362,222,Campaña,11/11/2002,3.33,126.54
2014,Internet,Publicidad Turismo,362,325,Campaña,11/11/2002,6.825,165.75
2014,Cine,Publicidad Turismo,361,462,Campaña,11/11/2002,30.03,351.12
2014,Cine,Publicidad Turismo,361,840,Campaña,11/11/2002,52.92,672
2014,Radio,Publicidad Turismo,361,199,Campaña,11/11/2002,4.378,103.48
2014,Radio,Publicidad Turismo,33605,198,Campaña,11/11/2002,17.622,122.76
2014,Internet,Publicidad Turismo,362,1000,Campaña,11/11/2002,4,670
2014,Cine,Publicidad Turismo,362,3638,Campaña,11/11/2002,167.348,3274.2
2014,Cine,Publicidad Turismo,33605,630,Campaña,11/11/2002,10.08,504
2014,Medios impresos,Publicidad Turismo,362,435,Campaña,11/11/2002,10.875,261
2014,Internet,Publicidad Turismo,366,768,Campaña,11/27/2002,13.056,614.4
2014,Medios impresos,Informe 2014,362,538,Campaña,11/11/2002,38.736,274.38
2014,Cine,Publicidad Turismo,362,2400,Campaña,11/11/2002,192,2304
2014,Radio,Publicidad Turismo,362,1760,Campaña,11/11/2002,133.76,1689.6
2014,Medios impresos,Publicidad Turismo,362,350,Campaña,11/11/2002,3.85,283.5
2014,Televisi?n,Informe 2014,362,700,Campaña,11/11/2002,50.4,518
